port,packet_count,byte_count,packet_fraction,byte_fraction
1761,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
1048,2229,131628,3.3226563025150935e-06,9.051800928871168e-07
1700,2228,130176,3.321165653657976e-06,8.951949719791633e-07
1721,2228,130176,3.321165653657976e-06,8.951949719791633e-07
1840,2228,130176,3.321165653657976e-06,8.951949719791633e-07
1914,2228,130176,3.321165653657976e-06,8.951949719791633e-07
1455,2227,130164,3.3196750048008583e-06,8.95112450318767e-07
1666,2227,130116,3.3196750048008583e-06,8.947823636771817e-07
1812,2227,130116,3.3196750048008583e-06,8.947823636771817e-07
1863,2227,130116,3.3196750048008583e-06,8.947823636771817e-07
1234,2227,130008,3.3196750048008583e-06,8.94039668733615e-07
1583,2226,130056,3.3181843559437408e-06,8.943697553752003e-07
